date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:20	139/139	---M--	302	error ('Found')	text/html	date:Sat,%2022%20Nov%202025%2019:29:20%20GMT	http://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=V34bQo1jKr4=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/exibirArquivo.2b3f08c.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:20	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:20%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=mGg1JzV5Yjo=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2b4401f.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:20	139/139	---M--	302	error ('Found')	text/html	date:Sat,%2022%20Nov%202025%2019:29:21%20GMT	http://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=UPHenyeEpbI=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/exibirArquivo.2b553f1.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:20	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:21%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=V2HZmRhgGcU=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2b6bc66.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:21	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:21%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=kzuZbmpv9u0=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2b7bb0f.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:21	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:22%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=LjvlwNkNOqM=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2b8fc01.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:22	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:22%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=3fR1YG8ZVzM=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2b97581.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:22	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:22%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=6ep9pPeSasI=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2ba4f44.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:22	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:23%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=kqggO4dAxQc=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2bbc5c0.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:23	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:23%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=HpY6jQ6W9f0=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2bc810d.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:23	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:24%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=v5%20r0ZIuBKk=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2bdb747.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:24	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:24%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=b6S3aVRtiPc=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2be1794.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:24	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:24%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=IV9KprPlrrg=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2bff8af.delayed	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:26	387612/387612	---M--	200	added ('OK')	application/pdf	date:Sat,%2022%20Nov%202025%2019:28:43%20GMT	http://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=lbpa538TYoA=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/NT%202016_003%20v3.00%20-%20Tabela%20NCM%20-%20vig%c3%aancia%2001-04-20222f9e.pdf	(from https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=/NJarYc9nus=)
16:29:26	1941/1941	---M--	200	added ('OK')	image/png	etag:%220197e798b4edc1:0%22	https://www.nfe.fazenda.gov.br/portal/imagens/icone_Linux.png	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/imagens/icone_Linux.png	(from https://www.nfe.fazenda.gov.br/portal/download.aspx?tipoConteudo=vBO/4eBj5F4=)
16:29:26	324/324	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Nov%202025%2019:29:26%20GMT	https://www.nfe.fazenda.gov.br/portal/%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.aspx?conteudo=655b+w/i/pw=	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/__%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20exibirArquivo.2c1e03e.delayed	(from https://www.nfe.fazenda.gov.br/portal/download.aspx?tipoConteudo=vBO/4eBj5F4=)
16:29:26	1398/1398	---M--	200	added ('OK')	image/png	etag:%2280af167a8b4edc1:0%22	https://www.nfe.fazenda.gov.br/portal/imagens/icone_windows.png	C:/My%20Web%20Sites/nfe-mock/www.nfe.fazenda.gov.br/portal/imagens/icone_windows.png	(from https://www.nfe.fazenda.gov.br/portal/download.aspx?tipoConteudo=vBO/4eBj5F4=)
